Hierarchy Level,Metric Name,Metric Value
0,Elapsed Time,24.283262
1,CPU Time,164.778929
2,Effective Time,164.768936
2,Spin Time,0.009993
2,Overhead Time,0.0
1,Total Thread Count,36
1,Paused Time,0.0
0,Top Hotspots,
0,Function,Module,CPU Time,% of CPU Time(%)
0,ekf::matmul_AB_T,ekf_mpi_prof,69.716121,42.3
0,ekf::matmul,ekf_mpi_prof,25.140096,15.3
0,sincos,libm.so.6,24.370981,14.8
0,ekf::inv6,ekf_mpi_prof,9.700375,5.9
0,ekf::predict,ekf_mpi_prof,7.451255,4.5
0,[Others],N/A,28.400102,17.2
0,Effective Physical Core Utilization,15.0% (3.606 out of 24)
1,Effective Logical Core Utilization,15.0% (7.183 out of 48)
0,Collection and Platform Info,
1,Application Command Line,/opt/amazon/openmpi/bin/mpirun "-n" "8" "--bind-to" "none" "--oversubscribe" "./ekf_mpi_prof" "--data" "/shared/home/das1301/project-das1301/data/v101.bin" "--M" "2048" "--seed" "42" "--runs" "3" "--warmup" "1" "--quiet" "--out" "results/vtune_r8_sw_runs.csv" 
1,Operating System,6.1.166-197.305.amzn2023.x86_64 
1,Computer Name,general-dy-general-cr-2
1,Result Size,10500307
1,Collection start time,13:22:44 07/05/2026 UTC
1,Collection stop time,13:23:08 07/05/2026 UTC
1,Collector Type,"Driverless Perf per-process counting,User-mode sampling and tracing"
1,CPU,
2,Name,Intel(R) Xeon(R) Processor code named Cascadelake
2,Frequency,2999995899
2,Logical CPU Count,48
2,Cache Allocation Technology,
3,Level 2 capability,not detected
3,Level 3 capability,not detected
