m,checksum
0,7.3995263741772019
1,7.5005695751079058
2,7.3940917956489383
3,7.3881801342925666
4,7.4775719504383362
5,7.3309288056631656
6,7.4304139514714826
7,7.3983684784814736
8,7.4515605202281154
9,7.4566763344820117
10,7.3446173035992919
11,7.5064111684478183
12,7.396623713629948
13,7.4853945617839708
14,7.5103347274241212
15,7.3553509304310607
16,7.3344040406352899
17,7.3993286636609641
18,7.4178002702246237
19,7.3072755567240799
20,7.4286144180321383
21,7.3733667150748214
22,7.4353884017020695
23,7.4473530011987243
24,7.4702780719396191
25,7.3473287873146926
26,7.4179979301266128
27,7.3944479701321582
28,7.4190547171223438
29,7.4482560273087906
30,7.3638318632372401
31,7.4548149975745943
32,7.403028357270145
33,7.4077662693208888
34,7.4100764980254636
35,7.3867655480073431
36,7.3339417183727962
37,7.466269078173613
38,7.4363320316035502
39,7.3839751624321668
40,7.4383014044699882
41,7.3815220548258118
42,7.3412516134029389
43,7.4544972544557755
44,7.3714020770185193
45,7.3858584050444751
46,7.3319637007259919
47,7.3968469499328773
48,7.4382700152012591
49,7.3130225620733267
50,7.4413519259306744
51,7.4167142766323204
52,7.4228845386163274
53,7.3576608834669033
54,7.3107372824770289
55,7.4243496812088026
56,7.4256900048738812
57,7.4550452894272849
58,7.4510083361743238
59,7.4618993763642045
60,7.4198974638345003
61,7.3546048315782846
62,7.4552421360363725
63,7.4983472068625927
64,7.408484472170124
65,7.4128457902061573
66,7.3816067182237886
67,7.3033041033109107
68,7.4846350640889927
69,7.28724169716474
70,7.4224257357260548
71,7.4133779139960714
72,7.3851813170011429
73,7.3423196043110854
74,7.325943301907424
75,7.45618021388385
76,7.4196475193828437
77,7.3970154853477519
78,7.3545343113588588
79,7.4456375960316175
80,7.3836306051535558
81,7.3496751721604445
82,7.3414372468403544
83,7.3520472052987271
84,7.4244234275130703
85,7.4609787475535461
86,7.4044744800350095
87,7.3391477483797516
88,7.4213547887153339
89,7.3697865112198322
90,7.4117395637994807
91,7.4713344947740339
92,7.3983265232353785
93,7.450085450567502
94,7.3688127276643458
95,7.3470842875124696
96,7.3702106946022372
97,7.3526702685219947
98,7.361961129973392
99,7.3706370239918808
100,7.4180536810745998
101,7.4430457314133722
102,7.4598042721282596
103,7.4052543745216228
104,7.3633179065294225
105,7.4467465769433048
106,7.3782986761688347
107,7.4750813567605228
108,7.3509471744338049
109,7.4592937037837714
110,7.4320806773131638
111,7.4007360455938223
112,7.428325560638692
113,7.4202917321757083
114,7.3356455870407391
115,7.4025987486568114
116,7.3999460196028011
117,7.4036068594888231
118,7.3268765199430224
119,7.4152862524590519
120,7.3439960761550829
121,7.4043285360218132
122,7.3467977907340911
123,7.3851485554445073
124,7.4339203130921669
125,7.3766966985025872
126,7.3945277350837264
127,7.3229812816212974
