m,checksum
0,7.5199794425855115
1,7.468141801092905
2,7.4712380896308863
3,7.4716831255850096
4,7.4765750412673686
5,7.50233907600406
6,7.3533129645639184
7,7.4188766786319551
8,7.4452418121649764
9,7.4326680185055078
10,7.3630396551963049
11,7.4282346783053264
12,7.4882573294836314
13,7.4127640999364193
14,7.5016457928115523
15,7.4986115333082193
16,7.4272550104281265
17,7.4716741302491281
18,7.3675324377588352
19,7.5457204313739039
20,7.4894615350540015
21,7.4380644522630206
22,7.5228914993528022
23,7.5598204292610909
24,7.3515145067295613
25,7.4149476912002275
26,7.4722878078953574
27,7.372341495793882
28,7.517421671831066
29,7.4857880908693595
30,7.4753116262735064
31,7.5947980555719514
32,7.4673930370280672
33,7.550179359875627
34,7.3989457200040469
35,7.4001223031819743
36,7.4491312564420102
37,7.4401729205672336
38,7.4922431642179337
39,7.3587682464255941
40,7.4043443721172695
41,7.4890843908049991
42,7.4429127293247976
43,7.5256980903647133
44,7.40018709729401
45,7.5032716640796266
46,7.4104817512400514
47,7.3864518499775702
48,7.5112088044094518
49,7.4720238754188211
50,7.41425744578682
51,7.4510823279918057
52,7.4205987552813522
53,7.4642436563014876
54,7.4474747607087766
55,7.5323592083481152
56,7.4878068508839108
57,7.4666281237492296
58,7.5081134433621584
59,7.3750481561380488
60,7.5241622097570584
61,7.4678000518242564
62,7.5307108144967749
63,7.518662113682919
64,7.4941286275104044
65,7.4226093092765453
66,7.4429037367352082
67,7.5290617839960206
68,7.4354879102539391
69,7.4663394618435648
70,7.358711224386524
71,7.459274687944756
72,7.4518281317992878
73,7.4181648854562008
74,7.5450474965883911
75,7.4501897945743902
76,7.4473806729385803
77,7.519424083555581
78,7.4774324582216778
79,7.3544923402990792
80,7.5088174704010502
81,7.3865996650177994
82,7.4252975675138506
83,7.471170407784089
84,7.3974729489707389
85,7.4199221887385356
86,7.4755498964293583
87,7.2747996191645568
88,7.3838589924263189
89,7.4422638075919547
90,7.4682555405373607
91,7.3059902137893973
92,7.4714997121536042
93,7.3890360585372763
94,7.3257943777508228
95,7.4627421754409164
96,7.4011670993788252
97,7.526910883358596
98,7.4616490716901316
99,7.3872555805298878
100,7.4359930080387402
101,7.3822716814613347
102,7.5231489482976679
103,7.4619418471376928
104,7.4509137216381696
105,7.414855536584577
106,7.4664668690340594
107,7.3856264281526673
108,7.4776512362636218
109,7.4547194564583172
110,7.4865921338894026
111,7.4407250841266936
112,7.476081612563279
113,7.3632540518647049
114,7.4129777708146474
115,7.5897283536230642
116,7.3479016411889164
117,7.4900468609346742
118,7.4043792958344428
119,7.4893032158416242
120,7.5813058710104668
121,7.5071082848086608
122,7.4353181457035999
123,7.4926963401615607
124,7.3845612450886549
125,7.3754544865411837
126,7.3961653013855546
127,7.4933575844134674
